"","persProb","g","v"
"1",0.00690607734806625,1,100
"2",0.00396825396825395,2,100
"3",0.150385604113111,3,100
"4",0.679045092838196,4,100
"5",0.888586956521739,5,100
"6",0.985195154777927,6,100
"7",0.990514905149051,7,100
"8",0.99738219895288,8,100
"9",1,9,100
"10",1,10,100
"11",1,11,100
"12",1,12,100
"13",0.00260078023407018,1,200
"14",0.00266666666666671,2,200
"15",0.0162162162162162,3,200
"16",0.375335120643432,4,200
"17",0.795890410958904,5,200
"18",0.942408376963351,6,200
"19",0.970627503337784,7,200
"20",0.991891891891892,8,200
"21",0.99604743083004,9,200
"22",0.998677248677249,10,200
"23",1,11,200
"24",1,12,200
"25",0.00395256916996045,1,300
"26",0,2,300
"27",0.00267379679144386,3,300
"28",0.204330175913397,4,300
"29",0.673254281949934,5,300
"30",0.894736842105263,6,300
"31",0.970509383378016,7,300
"32",0.985333333333333,8,300
"33",0.990691489361702,9,300
"34",0.997368421052632,10,300
"35",0.995918367346939,11,300
"36",1,12,300
"37",0.00262467191601046,1,400
"38",0.00264200792602376,2,400
"39",0.00397350993377488,3,400
"40",0.111842105263158,4,400
"41",0.562334217506631,5,400
"42",0.869853917662683,6,400
"43",0.945478723404255,7,400
"44",0.982939632545932,8,400
"45",0.993403693931398,9,400
"46",0.995962314939435,10,400
"47",0.997329773030708,11,400
"48",1,12,400
"49",0,1,500
"50",0,2,500
"51",0.00267022696929242,3,500
"52",0.0485175202156334,4,500
"53",0.465333333333333,5,500
"54",0.826719576719577,6,500
"55",0.939024390243902,7,500
"56",0.974043715846995,8,500
"57",0.986413043478261,9,500
"58",0.996113989637306,10,500
"59",0.998644986449865,11,500
"60",1,12,500
"61",0.00410396716826267,1,600
"62",0.00262123197903019,2,600
"63",0.00674763832658565,3,600
"64",0.0287671232876713,4,600
"65",0.384313725490196,5,600
"66",0.768918918918919,6,600
"67",0.935233160621762,7,600
"68",0.973190348525469,8,600
"69",0.993270524899058,9,600
"70",0.989501312335958,10,600
"71",0.995945945945946,11,600
"72",0.998678996036988,12,600
"73",0.00257400257400253,1,700
"74",0.00389610389610384,2,700
"75",0.00132978723404253,3,700
"76",0.0133689839572193,4,700
"77",0.347204161248374,5,700
"78",0.735570469798658,6,700
"79",0.921671018276762,7,700
"80",0.96953642384106,8,700
"81",0.985294117647059,9,700
"82",0.983892617449664,10,700
"83",0.992268041237113,11,700
"84",0.998657718120805,12,700
"85",0.00400534045393863,1,800
"86",0.00128040973111399,2,800
"87",0.00131233595800528,3,800
"88",0.00666666666666671,4,800
"89",0.294117647058823,5,800
"90",0.760210803689065,6,800
"91",0.91120218579235,7,800
"92",0.958441558441558,8,800
"93",0.990566037735849,9,800
"94",0.988095238095238,10,800
"95",0.991880920162382,11,800
"96",0.994623655913978,12,800
"97",0.00524934383202103,1,900
"98",0.00131233595800528,2,900
"99",0.0013333333333333,3,900
"100",0.004,4,900
"101",0.229639519359146,5,900
"102",0.709163346613546,6,900
"103",0.884615384615385,7,900
"104",0.957950065703022,8,900
"105",0.981456953642384,9,900
"106",0.989189189189189,10,900
"107",0.99055330634278,11,900
"108",0.997422680412371,12,900
"109",0.00263157894736843,1,1000
"110",0.00399467376830898,2,1000
"111",0.00264900662251655,3,1000
"112",0.00267737617135211,4,1000
"113",0.173740053050398,5,1000
"114",0.648247978436658,6,1000
"115",0.883963494132986,7,1000
"116",0.963660834454912,8,1000
"117",0.980494148244473,9,1000
"118",0.986468200270636,10,1000
"119",0.983935742971888,11,1000
"120",0.998684210526316,12,1000
"121",0.00266311584553924,1,2000
"122",0.00404858299595146,2,2000
"123",0.00788436268068327,3,2000
"124",0.0053763440860215,4,2000
"125",0.0361930294906166,5,2000
"126",0.413513513513514,6,2000
"127",0.760210803689065,7,2000
"128",0.901881720430108,8,2000
"129",0.958333333333333,9,2000
"130",0.968536251709986,10,2000
"131",0.974700399467377,11,2000
"132",0.991880920162382,12,2000
"133",0.00131752305665345,1,3000
"134",0.00134048257372654,2,3000
"135",0.00257069408740362,3,3000
"136",0.00676589986468201,4,3000
"137",0.00548696844993146,5,3000
"138",0.202631578947368,6,3000
"139",0.676392572944297,7,3000
"140",0.865612648221344,8,3000
"141",0.941891891891892,9,3000
"142",0.95364238410596,10,3000
"143",0.976531942633638,11,3000
"144",0.988250652741514,12,3000
"145",0.00524246395806027,1,4000
"146",0,2,4000
"147",0.00403768506056523,3,4000
"148",0.00264900662251655,4,4000
"149",0.0013333333333333,5,4000
"150",0.127937336814621,6,4000
"151",0.571045576407507,7,4000
"152",0.83311432325887,8,4000
"153",0.925333333333333,9,4000
"154",0.949333333333333,10,4000
"155",0.964512040557668,11,4000
"156",0.978343949044586,12,4000
"157",0.00401069518716579,1,5000
"158",0.00548696844993146,2,5000
"159",0.00261780104712039,3,5000
"160",0.00265957446808507,4,5000
"161",0,5,5000
"162",0.0857908847184986,6,5000
"163",0.519568151147099,7,5000
"164",0.783572359843546,8,5000
"165",0.91588785046729,9,5000
"166",0.936446173800259,10,5000
"167",0.973082099596231,11,5000
"168",0.97742363877822,12,5000
"169",0.00131578947368416,1,6000
"170",0.00272851296043652,2,6000
"171",0.00133689839572193,3,6000
